Austria,Ian Roy,Clark,2,Manager,A.00020,Austria_A.00020_Clark_Ian Roy.,195SpVnRq3rz3Ro4BwXXnM1vJtIWmEb0m,
Austria,Monika,Clark,2,Supporter,A.00021,-1,-1,
Austria,Johannes,Dobretsberger,2,Competitor,A.00170,Austria_A.00170_Dobretsberger_Johannes.,1_ogv7DR2K6DeXugAVFfnqqgjC0FwhhNW,individual + team
Austria,Harald,Goldner,3,Competitor,A.00091,Austria_A.00091_Goldner_Harald.,1PKCmwnYm_XP8ji_iL3CKy-B82AYEB8xh,individual + team
Austria,Thomas,Knauder,2,Competitor,A.00120,Austria_A.00120_Knauder_Thomas.,1UYXJemKx60YwBzJbfowE-ya9MneUGe2p,individual + team
Austria,Christoph,Leitner,1,Competitor,A.00187,Austria_A.00187_Leitner_Christoph,1dsAVMq8pNSTzRmdkXHUSUcApOUDQSG8W,individual + team
Belgium,Pramit,Basu,Mudan,Competitor,B.00897,Belgium_B.00897_Basu_Pramit.,1TQnn4xWYpOxQCjKlFVKDH2Tj1hfFYFnp,individual
Belgium,Anissa,Boujraf,1,Supporter,B.00900,-1,-1,
Belgium,Soumaya,Boujraf,Mudan,Competitor,B.00901,Belgium_B.00901_Boujraf_Soumaya.,1XqstRZsODXS94fBTerHZvBlkQ2GJ2xXj,individual
Belgium,Philippe,Bruwier,7 renshi,Referee,B.00178,Belgium_B.00178_Bruwier_Philippe.,179AhNINg2l5I-aDPKb0hhp2RjSZYCFce,
Belgium,Freddy,Carlier,6,Delegationleader + Manager,B.00142,Belgium_B.00142_Carlier_Freddy.,1xj0SbgQjhHmKaGkB262PAxMY6OmwZ9m7,
Belgium,Kim,Croes,3,Competitor,B.00679,Belgium_B.00679_Croes_Kim.,1Sl-zEAThHmR_Gnyd67jCbhtN_8shAq6R,individual + team
Belgium,Luc,Defraeye,6,Referee,B.00224,Belgium_B.00224_Defraeye_Luc.,1TFcPraMkT6DugacIS4FtYWf9evFC1xYd,
Belgium,Patrik,Demuynck,7 renshi,Referee,B.00067,Belgium_B.00067_Demuynck_Patrik.,1V1sWjrPPcQ7tIwXCWDpOBywY6jNWBFnc,
Belgium,Daan,Heungens,3,Competitor,B.00725,Belgium_B.00725_Heungens_Daan.,1em8HjUkmeNp74zB4xNoJDXy4hxKymygF,individual + team
